<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0177.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0177.txt </filename>
<title>생각하는 물리 </title>
<author>박성식  </author>
<date>1995  </date>
<publisher>도솔  </publisher>
<kdc>420  </kdc>
<ddc>530  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
우리는	우리/npp+는/jxc
다른	다르/paa+ㄴ/etm
한쪽도	한쪽/ncn+도/jxc
힘을	힘/ncn+을/jco
작용한다는	작용/ncpa+하/xsv+ㄴ다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
사과를	사과/ncn+를/jco
꽂은	꽂/pvg+은/etm
용수철을	용수철/ncn+을/jco
천장에	천장/ncn+에/jca
매달아	매달/pvg+아/ecx
놓았다고	놓/px+았/ep+다고/ecs
가정해	가정/ncpa+하/xsv+어/ecx
보자	보/px+자/ef
.	./sf
이	이/mmd
때는	때/ncn+는/etm
세	세/nnc
가지의	가지/nbu+의/jcm
작용과	작용/ncn+과/jcj
반작용	반/xp+작용/ncn
관계를	관계/ncn+를/jco
생각할	생각/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
첫째	첫째/nno
,	,/sp
사과와	사과/ncn+와/jcj
지구	지구/ncn
사이에	사이/ncn+에/jca
작용하는	작용/ncpa+하/xsv+는/etm
만유인력으로	만유인력/ncn+으로/jca
,	,/sp
사과와	사과/ncn+와/jcj
지구가	지구/ncn+가/jcs
같은	같/paa+은/etm
크기의	크기/ncn+의/jcm
힘으로	힘/ncn+으로/jca
서로	서로/ncn
당기고	당기/pvg+고/ecx
있다	있/px+다/ef
.()	./sf+(/sl+)/sr
둘째	둘째/nno
,	,/sp
사과의	사과/ncn+의/jcm
무게	무게/ncn
만큼	만큼/nbn
용수철도	용수철/ncn+도/jxc
같은	같/paa+은/etm
힘이지만	힘/ncn+이/jp+지만/ecs
반대	반대/ncn
방향으로	방향/ncn+으로/jca
만큼	만큼/nbn
당기고	당기/pvg+고/ecx
있다	있/px+다/ef
.()	./sf+(/sl+)/sr
셋째	셋째/nno
,	,/sp
용수철이	용수철/ncn+이/jcs
천장에	천장/ncn+에/jca
매달린	매달리/pvg+ㄴ/etm
만큼	만큼/nbn
천장도	천장/ncn+도/jxc
용수철을	용수철/ncn+을/jco
로	로/jca
위로	위/ncn+로/jca
당기고	당기/pvg+고/ecx
있다	있/px+다/ef
.()	./sf+(/sl+)/sr
이	이/mmd
모든	모든/mma
힘의	힘/ncn+의/jcm
관계가	관계/ncn+가/jcs
각각	각각/mag
작용과	작용/ncn+과/jcj
반작용으로	반/xp+작용/ncn+으로/jca
어우러져	어우러지/pvg+어/ecx
있는	있/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이들	이/npd+들/xsn
힘의	힘/ncn+의/jcm
크기만	크기/ncn+만/jxc
비교해	비교/ncpa+하/xsv+어/ecx
보면	보/px+면/ecs
로	로/jca
모두	모두/mag
같다	같/paa+다/ef
.	./sf
이제	이제/mag
앞의	앞/ncn+의/jcm
문제로	문제/ncn+로/jca
돌아가	돌/pvg+아/ecs+가/pvg+아/ecx
보자	보/px+자/ef
.	./sf
62	62/nnc
페이지의	페이지/nbu+의/jcm
그림처럼	그림/ncn+처럼/jca
밧줄을	밧줄/ncn+을/jco
통해서	통하/pvg+어서/ecs
호동이가	호동이/nq+가/jcs
갑순이를	갑순이/nq+를/jco
당기는	당기/pvg+는/etm
힘	힘/ncn
는	는/jxc
갑순이가	갑순이/nq+가/jcs
호동이를	호동이/nq+를/jco
당기는	당기/pvg+는/etm
힘	힘/ncn
과	과/jct
같다	같/paa+다/ef
.	./sf
즉	즉/mag
힘의	힘/ncn+의/jcm
크기만	크기/ncn+만/jxc
비교하면	비교/ncpa+하/xsv+면/ecs
이다	이/jp+다/ef
.	./sf
한편	한편/maj
호동이가	호동이/nq+가/jcs
땅을	땅/ncn+을/jco
미는	밀/pvg+는/etm
힘	힘/ncn
에	에/jca
대한	대하/pvg+ㄴ/etm
반작용으로	반/xp+작용/ncn+으로/jca
이	이/jcs
생기고	생기/pvg+고/ecs
,	,/sp
갑순이가	갑순이/nq+가/jcs
땅을	땅/ncn+을/jco
미는	밀/pvg+는/etm
힘	힘/ncn
에	에/jca
대한	대하/pvg+ㄴ/etm
반작용으로	반/xp+작용/ncn+으로/jca
가	가/jcs
생긴다	생기/pvg+ㄴ다/ef
.	./sf
이	이/mmd
경기에서	경기/ncn+에서/jca
호동이가	호동이/nq+가/jcs
이길	이기/pvg+ㄹ/etm
수	수/nbn
있었던	있/paa+었/ep+던/etm
것은	것/nbn+은/jxc
땅에	땅/ncn+에/jca
힘을	힘/ncn+을/jco
주어	주/pvg+어/ecs
생기는	생기/pvg+는/etm
마찰력이	마찰/ncn+력/xsn+이/jcs
컸기	크/paa+었/ep+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
즉	즉/mag
가	가/jcc
되는	되/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
여기서	여기/npd+서/jca
호동이한테	호동이/nq+한테/jca
미치는	미치/pvg+는/etm
힘은	힘/ncn+은/jxc
인데	이/jp+ㄴ데/ecs
,	,/sp
그	그/mmd
합은	합/ncn+은/jxc
이며	이/jp+며/ecc
,	,/sp
갑순이한테	갑순이/nq+한테/jca
미치는	미치/pvg+는/etm
힘은	힘/ncn+은/jxc
이다	이/jp+다/ef
.	./sf
그런데	그런데/maj
이면서	이/jp+면서/ecs
이면	이/jp+면/ecs
,	,/sp
호동이와	호동이/nq+와/jcj
갑순이가	갑순이/nq+가/jcs
모두	모두/mag
호동이	호동이/nq
쪽으로	쪽/nbn+으로/jca
움직이게	움직이/pvg+게/ecs
되는	되/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
정답은	정답/ncn+은/jxc
얌전이	얌전이/nq
.	./sf
우주선	우주/ncn+선/xsn
속에서의	속/ncn+에서/jca+의/jcm
줄다리기	줄다리기/ncn
지구	지구/ncn
궤도	궤도/ncn
위를	위/ncn+를/jco
돌고	돌/pvg+고/ecx
있는	있/px+는/etm
인공	인공/ncn
위성	위성/ncn
안은	안/ncn+은/jxc
무중력	무/xp+중력/ncn
상태이다	상태/ncn+이/jp+다/ef
.	./sf
이	이/mmd
인공	인공/ncn
위성	위성/ncn
안에서	안/ncn+에서/jca
호동이와	호동이/nq+와/jcj
갑순이가	갑순이/nq+가/jcs
다시	다시/mag
줄다리기	줄다리기/ncn
경주를	경주/ncn+를/jco
하게	하/pvg+게/ecs
되었다	되/pvg+었/ep+다/ef
.	./sf
지구에서라면	지구/ncn+에서/jca+라면/ecs
몸무게가	몸무게/ncn+가/jcs
많이	많/paa+이/xsa
나가는	나가/pvg+는/etm
호동이가	호동이/nq+가/jcs
조금	조금/mag
유리했을	유리/ncps+하/xsm+었/ep+을/etm
지도	지/nbn+도/jxc
모르지만	모르/pvg+지만/ecs
,	,/sp
이	이/mmd
곳은	곳/ncn+은/jxc
무게가	무게/ncn+가/jcs
사라진	사라지/pvg+ㄴ/etm
공간이다	공간/ncn+이/jp+다/ef
.	./sf
과연	과연/mag
어떻게	어떻/pad+게/ecs
되었을까	되/pvg+었/ep+을까/ef
?	?/sf
차돌이	차돌이/nq
:	:/sp
밧줄을	밧줄/ncn+을/jco
통해	통하/pvg+어/ecx
서로	서로/mag
당기는	당기/pvg+는/etm
힘은	힘/ncn+은/jxc
같을	같/paa+을/etm
테니까	터/nbn+이/jp+니까/ecs
몸집이	몸집/ncn+이/jcs
큰	크/paa+ㄴ/etm
호동이가	호동이/nq+가/jcs
갑순이보다	갑순이/nq+보다/jca
느리게	느리/paa+게/ecs
움직일	움직이/pvg+ㄹ/etm
거야	거/nbn+야/ef
.	./sf
따라서	따라서/maj
,	,/sp
갑순이가	갑순이/nq+가/jcs
중간에	중간/ncn+에/jca
있는	있/paa+는/etm
깃발에	깃발/ncn+에/jca
먼저	먼저/mag
도착할	도착/ncpa+하/xsv+ㄹ/etm
거야	거/nbn+야/ef
.	./sf
그러니까	그러니까/maj
이	이/mmd
경기에서도	경기/ncn+에서/jca+도/jxc
호동이가	호동이/nq+가/jcs
이기겠지	이기/pvg+겠/ep+지/ecx
.	./sf
꿈돌이	꿈돌이/nq
:	:/sp
무중력	무/xp+중력/ncn
상태에서는	상태/ncn+에서/jca+는/jxc
어떤	어떤/mmd
힘도	힘/ncn+도/jxc
줄	주/pvg+ㄹ/etm
수	수/nbn
없어	없/paa+어/ef
.	./sf
그러니까	그러니까/maj
호동이와	호동이/nq+와/jcj
갑순이	갑순이/nq
그	그/mmd
어느	어느/mmd
쪽도	쪽/nbn+도/jxc
제자리에서	제자리/ncn+에서/jca
움직일	움직이/pvg+ㄹ/etm
수	수/nbn
없을	없/paa+을/etm
거야	거/nbn+야/ef
.	./sf
주변에	주변/ncn+에/jca
밀거나	밀/pvg+거나/ecc
당길	당기/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
물체도	물체/ncn+도/jxc
없으니까	없/paa+으니까/ecs
아예	아예/mag
경기를	경기/ncn+를/jco
할	하/pvg+ㄹ/etm
수도	수/nbn+도/jxc
없을걸	없/paa+을걸/ef
.	./sf
곰곰이	곰곰이/nq
:	:/sp
근육을	근육/ncn+을/jco
이용해서	이용/ncpa+하/xsv+어서/ecs
밧줄을	밧줄/ncn+을/jco
서로	서로/ncn
당길	당기/pvg+ㄹ/etm
수는	수/nbn+는/jxc
있을	있/paa+을/etm
거야	거/nbn+야/ef
.	./sf
그리고	그리고/maj
그	그/mmd
힘은	힘/ncn+은/jxc
작용과	작용/ncn+과/jcj
반작용에	반/xp+작용/ncn+에/jca
의해	의하/pvg+어/ecx
같은	같/paa+은/etm
크기이면서	크기/ncn+이/jp+면서/ecs
방향은	방향/ncn+은/jxc
반대가	반대/ncn+가/jcc
되지	되/pvg+지/ecx
.	./sf
하지만	하지만/maj
지상에서와는	지상/ncn+에서/jca+와/jcj+는/jxc
달리	다르/paa+이/xsa
버틸	버티/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
마찰력이	마찰/ncn+력/xsn+이/jcs
생기지	생기/pvg+지/ecx
않아서	않/px+아서/ecs
결국	결국/mag
둘	둘/nnc
다	다/mag
똑같은	똑같/paa+은/etm
운동을	운동/ncn+을/jco
하게	하/pvg+게/ecs
되므로	되/pvg+므로/ecs
동시에	동시/ncn+에/jca
깃발에	깃발/ncn+에/jca
도착하게	도착/ncpa+하/xsv+게/ecs
되어	되/pvg+어/ecs
무승부가	무/xp+승부/ncn+가/jcc
될	되/pvg+ㄹ/etm
거야	거/nbn+야/ef
.	./sf
똘똘이	똘똘이/nq
:	:/sp
호동이는	호동이/nq+는/jxc
갑순이보다	갑순이/nq+보다/jca
더	더/mag
세게	세/paa+게/ecs
잡아당길	잡/pvg+아/ecs+당기/pvg+ㄹ/etm
수	수/nbn
있고	있/paa+고/ecc
,	,/sp
또	또/maj
그만큼	그/mmd+만큼/nbn
반작용도	반/xp+작용/ncn+도/jxc
크니까	크/paa+니까/ecs
더	더/mag
큰	크/paa+ㄴ/etm
힘을	힘/ncn+을/jco
받지	받/pvg+지/ef
.	./sf
그러니까	그러니까/maj
호동이가	호동이/nq+가/jcs
먼저	먼저/mag
깃발에	깃발/ncn+에/jca
도달할	도달/ncpa+하/xsv+ㄹ/etm
거야	거/nbn+야/ef
.	./sf
갑순이가	갑순이/nq+가/jcs
승리하는	승리/ncpa+하/xsv+는/etm
거지	것/nbn+이/jp+지/ef
.	./sf
얌전이	얌전이/nq
:	:/sp
똘똘이	똘똘이/nq
말대로	말/ncn+대로/jxc
호동이가	호동이/nq+가/jcs
받는	받/pvg+는/etm
반작용이	반/xp+작용/ncn+이/jcs
더	더/mag
크지만	크/paa+지만/ecs
호동이는	호동이/nq+는/etm
질량이	질량/ncn+이/jcs
더	더/mag
크므로	크/paa+므로/ecs
그에	그/npd+에/jca
따른	따르/pvg+ㄴ/etm
가속도는	가속도/nbn+는/jxc
갑순이의	갑순이/nq+의/jcm
경우와	경우/ncn+와/jct
똑같은	똑같/paa+은/etm
가속도가	가속도ncn+가/jcc
되어	되/pvg+어/ecs
동시에	동시/ncn+에/jca
도달할거야	도달/ncpa+하/xsv+ㄹ거야/ef
.	./sf
결과는	결과/ncn+는/jxc
무승부일	무/xp+승부/ncn+이/jp+ㄹ/etm
거야	거/nbn+야/ef
.	./sf
생각해	생각/ncpa+하/xsv+어/ecx
볼까요	보/pvg+ㄹ까/ef+요/jxf
?	?/sf
줄을	줄/ncn+을/jco
통해	통하/pvg+어/ecs
상대방을	상대방/ncn+을/jco
당기는	당기/pvg+는/etm
힘은	힘/ncn+은/jxc
작용과	작용/ncn+과/jcj
반작용의	반/xp+작용/ncn+의/jcm
관계로	관계/ncn+로/jca
같다	같/paa+다/ef
.	./sf
그러니까	그러니까/maj
호동이와	호동이/nq+와/jcj
갑순이는	갑순이/nq+는/jxc
똑같은	똑같/paa+은/etm
힘을	힘/ncn+을/jco
동시에	동시/ncn+에/jca
받는	받/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러나	그러나/maj
같은	같/paa+은/etm
힘을	힘/ncn+을/jco
받더라도	받/pvg+더라도/ecs
질량이	질량/ncn+이/jcs
큰	크/paa+ㄴ/etm
호동이는	호동이/nq+는/jxc
갑순이에	갑순이/nq+에/jca
비해	비하/pvg+어/ecx
작은	작/paa+은/etm
가속도를	가속도/ncn+를/jco
갖게	갖/pvg+게/ecs
되어	되/pvg+어/ecs
천천히	천천/ncn+히/xsa
움직이고	움직이/pvg+고/ecc
,	,/sp
이에	이/npd+에/jca
비해	비하/pvg+어/ecs
갑순이는	갑순/ncn+이/jp+는/etm
상대적으로	상대/ncn+적/xsn+으로/jca
큰	크/paa+ㄴ/etm
가속도로	가속도/ncn+로/jca
움직이게	움직이/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
식으로	식/ncn+으로/jca
표현하면	표현/ncpa+하/xsv+면/ecs
,	,/sp
'	'/sl
가속도	가속도/ncn
=	=/sy
힘	힘/ncn
질량	질량/ncn
'	'/sr
이므로	이/jp+므로/ecs
,	,/sp
힘이	힘/ncn+이/jcs
같을	같/paa+을/etm
때는	때/ncn+는/jxc
질량이	질량/ncn+이/jcs
작은	작/paa+은/etm
쪽의	쪽/nbn+의/jcm
가속도가	가속도/ncn+가/jcs
크다는	크/paa+다/ef+는/etm
말이	말/ncn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
따라서	따라서/maj
서로	서로/ncn
정지	정지/ncn
상태에서	상태/ncn+에서/jca
출발하면	출발/ncpa+하/xsv+면/ecs
가속도가	가속도/ncn+가/jcs
큰	크/paa+ㄴ/etm
쪽이	쪽/nbn+이/jcs
큰	크/paa+ㄴ/etm
속력을	속력/ncn+을/jco
갖게	갖/pvg+게/ecs
되므로	되/pvg+므로/ecs
갑순이가	갑순이/nq+가/jcs
먼저	먼저/mag
깃발에	깃발/ncn+에/jca
도달한다	도달/ncpa+하/xsv+ㄴ다/ef
.	./sf
몸무게가	몸무게/ncn+가/jcs
많이	많/paa+이/xsa
나가는	나가/pvg+는/etm
사람이	사람/ncn+이/jcs
무조건	무/xp+조건/mag
이기는	이기/pvg+는/etm
경기다	경기/ncn+다/ef
.	./sf
정답은	정답/ncn+은/jxc
차돌이	차돌이/nq
.	./sf
축구장에서	축구/ncn+장/xsn+에서/jca
121462600       
손으로	손/ncn+으로/jca
공을	공/ncn+을/jco
들고	들/pvg+고/ecc
찰	차/paa+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
유일한	유일/ncps+하/xsm+ㄴ/etm
사람은	사람/ncn+은/jxc
골키퍼뿐이다	골키퍼/ncn+뿐/jxc+이/jp+다/ef
.	./sf
축구	축구/ncn
경기	경기/ncn
중에	중/nbn+에/jca
골키퍼가	골키퍼/ncn+가/jcs
상대방	상대방/ncn
문전을	문전/ncn+을/jco
향해	향하/pvg+어/ecs
공을	공/ncn+을/jco
길게	길/paa+게/jca
차는	차/pvg+는/etm
모습을	모습/ncn+을/jco
생각해	생각/ncpa+하/xsv+어/ecx
보자	보/px+자/ef
.	./sf
골키퍼가	골키퍼/ncn+가/jcs
힘껏	힘껏/mag
차	차/pvg+아/ecs
올린	올리/pvg+ㄴ/etm
공이	공/ncn+이/jcs
가장	가장/mag
높이	높/paa+이/xsa
올라간	오르/pvg+아/ecs+가/pvg+ㄴ/etm
지점에는	지점/ncn+에/jca+는/jxc
어떤	어떤/mmd
힘이	힘/ncn+이/jcs
미치고	미치/pvg+고/ecx
있을까	있/px+을까/ef
?	?/sf
차돌이	차돌이/nq
:	:/sp
어찌	어찌/mag
되었든지	되/pvg+었/ep+든지/ecs
,	,/sp
중력만이	중력/ncn+만/jxc+이/jcs
아래로	아래/ncn+로/jca
작용하고	작용/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
공이	공/ncn+이/jcs
포물선을	포물선/ncn+을/jco
그리는	그리/pvg+는/etm
것은	것/nbn+은/jxc
,	,/sp
처음에	처음/ncn+에/jca
골키퍼가	골키퍼/ncn+가/jcs
공을	공/ncn+을/jco
찰때	차/pvg+ㄹ/etm+때/ncn
작용한	작용/ncpa+하/xsv+ㄴ/etm
힘	힘/ncn
때문에	때문/nbn+에/jca
생긴	생기/pvg+ㄴ/etm
속도와	속도/ncn+와/jcj
,	,/sp
중력의	중력/ncn+의/jcm
영향으로	영향/ncn+으로/jca
변하는	변하/pvg+는/etm
속도가	속도/ncn+가/jcs
서로	서로/ncn
합해진	합하/pvg+어/ecx+지/px+ㄴ/etm
결과다	결과/ncn+다/ef
.	./sf
꿈돌이	꿈돌이/nq
:	:/sp
공이	공/ncn+이/jcs
날아가는	날/pvg+아/ecs+가/pvg+는/etm
이유는	이유/ncn+는/jxc
골키퍼가	골키퍼/ncn+가/jcs
발로	발/ncn+로/jca
찬	차/pvg+ㄴ/etm
힘	힘/ncn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
공이	공/ncn+이/jcs
가장	가장/mag
높이	높/paa+이/xsa
올라간	오르/pvg+아/ecs+가/pvg+ㄴ/etm
지점에서도	지점/ncn+에서/jca+도/jxc
그	그/mmd
힘은	힘/ncn+은/jxc
남아있다고	남/pvg+아/ecx+있/px+다고/ecs
봐야	보/pvg+아야/ecs
한다	하/px+ㄴ다/ef
.	./sf
그래야	그렇/pad+어야/ecs
내려오는	내리/pvg+어/ecs+오/pvg+는/etm
운동을	운동/ncn+을/jco
할	하/pvg+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
테니까	터/nbn+이/jp+니까/ef
!	!/sf
곰곰이	곰곰이/nq
:	:/sp
맨	맨/mma
꼭대기	꼭대기/ncn
지점은	지점/ncn+은/jxc
올라가지도	오르/pvg+아/ecs+가/pvg+지/ecx+도/jxc
내려가지도	내리/pvg+어/ecs+가/pvg+지/ecx+도/jxc
않는	않/px+는/etm
지점이므로	지점/ncn+이/jp+므로/ecs
,	,/sp
이때는	이/mmd+때/ncn+는/jxc
중력과	중력/ncn+과/jcj
발로	발/ncn+로/jca
찬	차/pvg+ㄴ/etm
힘이	힘/ncn+이/jcs
평형이	평형/ncn+이/jcc
되는	되/pvg+는/etm
순간이라고	순간/ncn+이/jp+라고/ecs
설명할	설명/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
똘똘이	똘똘이/nq
:	:/sp
발로	발/ncn+로/jca
찬	차/pvg+ㄴ/etm
힘과	힘/ncn+과/jcj
중력이	중력/ncn+이/jcs
합해진	합하/pvg+어/ecx+지/px+ㄴ/etm
힘이지만	힘/ncn+이/jp+지만/ecs
,	,/sp
움직이고	움직이/pvg+고/ecx
있는	있/px+는/etm
과정이므로	과정/ncn+이/jp+므로/ecs
발로	발/ncn+로/jca
찬	차/pvg+ㄴ/etm
힘과	힘/ncn+과/jcj
중력의	중력/ncn+의/jcm
합력이	합력/ncn+이/jcs
작용한다고	작용/ncpa+하/xsv+ㄴ다/ef+고/ecs
볼	보/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
얌전이	얌전이/nq
:	:/sp
맨	맨/mma
꼭대기	꼭대기/ncn
지점에서는	지점/ncn+에서/jca+는/jxc
순간적으로	순간/ncn+적/xsn+으로/jca
정지하는	정지/ncpa+하/xsv+는/etm
것이니까	것/nbn+이/jp+니까/ef
.	./sf
어떤	어떤/mmd
힘도	힘/ncn+도/jxc
작용하지	작용/ncpa+하/xsv+지/ecx
않는다라고	않/px+는다/ef+라고/ecs
생각하는	생각/ncpa+하/xsv+는/etm
것이	것/nbn+이/jcs
가장	가장/mag
합리적이다	합리/ncn+적/xsn+이/jp+다/ef
.	./sf
생각해	생각/ncpa+하/xsv+어/ecx
볼까요	보/pvg+ㄹ까/ef+요/jxf
?	?/sf
이	이/mmd
운동은	운동/ncn+은/jxc
포물선	포물선/ncn
운동이다	운동/ncn+이/jp+다/ef
.	./sf
포물선	포물선/ncn
운동은	운동/ncn+은/jxc
수직	수직/ncn
(	(/sl
연직	연직/ncn
)	)/sr
방향의	방향/ncn+의/jcm
가속도를	가속도/ncn+를/jco
가진	가지/pvg+ㄴ/etm
낙하	낙하/ncn
운동과	운동/ncn+과/jcj
수평	수평/ncn
방향의	방향/ncn+의/jcm
등속	등속/ncn
직선	직선/ncn
운동이	운동/ncn+이/jcs
합쳐진	합치/pvg+어/ecx+지/px+ㄴ/etm
운동이다	운동/ncn+이/jp+다/ef
.	./sf
그림처럼	그림/ncn+처럼/jca
처음에	처음/ncn+에/jca
발로	발/ncn+로/jca
차서	차/pvg+서/ecs
공에	공/ncn+에/jca
v	v/f
라는	라/ef+는/etm
속도를	속도/ncn+를/jco
준다	주/pvg+ㄴ다/ef
.	./sf
이때	이/mmd+때/ncn
공이	공/ncn+이/jcs
발에	발/ncn+에/jca
닿아	닿/pvg+아/ecx
있는	있/px+는/etm
동안에만	동안/ncn+에/jca+만/jxc
공에	공/ncn+에/jca
힘이	힘/ncn+이/jcs
작용해서	작용/ncpa+하/xsv+어서/ecs
속력이	속력/ncn+이/jcs
커지는	커지/pvg+는/etm
것이고	것/nbn+이/jp+고/ecs
,	,/sp
공이	공/ncn+이/jcs
발을	발/ncn+을/jco
떠나는	떠나/pvg+는/etm
순간부터는	순간/ncn+부터/jxc+는/jxc
발에서	발/ncn+에서/jca
더이상의	더/mag+이상/ncn+의/jcm
힘을	힘/ncn+을/jco
받을	받/pvg+을/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
발에	발/ncn+에/jca
의해	의하/pvg+어/ecs
공은	공/ncn+은/jxc
가속을	가속/ncn+을/jco
받아	받/pvg+아/ecs
v	v/f
라는	라/ef+는/etm
속도를	속도/ncn+를/jco
얻은	얻/pvg+은/etm
것뿐이고	것/nbn+뿐/jxc+이/jp+고/ecs
,	,/sp
힘을	힘/ncn+을/jco
가지고	가지/pvg+고/ecx
날아가는	날/pvg+아/ecs+가/pvg+는/etm
것은	것/nbn+은/jxc
아니다	아니/paa+다/ef
.	./sf
그리고	그리고/maj
이	이/mmd
속도는	속도/ncn+는/jxc
수직	수직/ncn
방향인	방향/ncn+이/jp+ㄴ/etm
와	와/jcj
수평	수평/ncn
방향인	방향/ncn+이/jp+ㄴ/etm
의	의/jcm
속력으로	속력/ncn+으로/jca
나누어	나누/pvg+어/ecx
생각할	생각/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
먼저	먼저/mag
수평	수평/ncn
방향인	방향/ncn+이/jp+ㄴ/etm
의	의/jcm
속력을	속력/ncn+을/jco
살펴보자	살피/pvg+어/ecs+보/pvg+자/ef
.	./sf
수평	수평/ncn
방향인	방향/ncn+이/jp+ㄴ/etm
속력의	속력/ncn+의/jcm
변화를	변화/ncn+를/jco
줄	주/pvg+ㄹ/etm
힘이	힘/ncn+이/jcs
없기	없/paa+기/etn
때문에	때문/nbn+에/jca
관성에	관성/ncn+에/jca
의해	의하/pvg+어/ecs
속력이	속력/ncn+이/jcs
변화	변화/ncn
변하지	변하/pvg+지/ecx
않고	않/px+고/ecs
유지된다	유지/ncpa+되/xsv+ㄴ다/ef
.	./sf
(	(/sl
물론	물론/mag
여기서는	여기/npd+서/jca+는/jxc
공기	공기/ncn
저항을	저항/ncn+을/jco
무시하고	무시/ncpa+하/xsv+고/ecs
생각한다	생각/ncpa+하/xsv+ㄴ다/ef
.)	./sf+)/sr
그러나	그러나/maj
수직	수직/ncn
방향으로는	방향/ncn+으로/jca+는/jxc
중력이	중력/ncn+이/jcs
'	'/sl
언제나	언제나/mag
'	'/sr
작용하므로	작용/ncpa+하/xsv+므로/ecs
속도가	속도/ncn+가/jcs
줄어들고	줄/pvg+어/ecx+들/px+고/ecx
있으며	있/px+으며/ecs
(	(/sl
),	)/sr+,/sp
맨	맨/mma
꼭대기에서	꼭대기/ncn+에서/jca
수직	수직/ncn
방향의	방향/ncn+의/jcm
속력은	속력/ncn+은/jxc
0	0/nnc
이된다	이/jcc+되/pvg+ㄴ다/ef
.	./sf
물론	물론/mag
그	그/mmd
이후에는	이후/ncn+에/jca+는/jxc
역시	역시/mag
중력에	중력/ncn+에/jca
의해	의하/pvg+어/ecs
아래쪽	아래/ncn+쪽/nbn
방향으로	방향/ncn+으로/jca
속력이	속력/ncn+이/jcs
커지는데	커지/pvg+는데/ecs
이것도	이것/npd+도/jxc
역시	역시/mag
같은	같/paa+은/etm
가속도의	가속도/ncn+의/jcm
영향이다	영향/ncn+이/jp+다/ef
.	./sf
그러므로	그러므로/maj
차돌이의	차돌이/nq+의/jcm
말이	말/ncn+이/jcs
정답이다	정답/ncn+이/jp+다/ef
.	./sf
우주선	우주/ncn+선/xsn
안에서의	안/ncn+에서/jca+의/jcm
깡통돌리기	깡통/ncn+돌리/pvg+기/etn
예전에는	예전/ncn+에/jca+는/jxc
정월	정월/ncn
대보름이면	대보름/ncn+이/jp+면/ecs
흔히	흔히/mag
쥐불놀이라고	쥐불놀이/ncn+라고/ecs
하여	하/pvg+어/ecs
,	,/sp
불붙은	불/ncn+붙/pvg+은/etm
깡통을	깡통/ncn+을/jco
끈에	끈/ncn+에/jca
매달아	매달/pvg+아/ecs
돌리며	돌리/pvg+며/ecs
놀곤	놀/pvg+곤/ecs
했었다	하/pvg+었었/ep+다/ef
.	./sf
지금도	지금/ncn+도/jxc
시골에서는	시골/ncn+에서/jca+는/jxc
가끔	가끔/mag
이런	이런/mmd
광경을	광경/ncn+을/jco
보곤	보/pvg+곤/ecs
하는데	하/pvg+는데/ecs
,	,/sp
어른들은	어른/ncn+들/xsn+은/jxc
밤에	밤/ncn+에/jca
오줌싼다고	오줌/ncn+싸/pvg+ㄴ다/ef+고/ecs
말리시곤	말리/pvg+시/ep+곤/ecs
했다	하/pvg+었/ep+다/ef
.	./sf
어쨌든	어쨌든/mag
쥐불놀이를	쥐불놀이/ncn+를/jco
할	하/pvg+ㄹ/etm
때	때/ncn
돌리는	돌리/pvg+는/etm
방법은	방법/ncn+은/jxc
두	두/nnc
가지다	가지/nbu+다/ef
.	./sf
첫번째	첫/nno+번째/nbu
방법은	방법/ncn+은/jxc
몸	몸/ncn
가까이에서	가까이/ncn+에서/jca
아래위로	아래/ncn+위/ncn+로/jca
원을	원/ncn+을/jco
그리는	그리/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
팔을	팔/ncn+을/jco
아래위	아래/ncn+위/ncn
방향으로	방향/ncn+으로/jca
